sample_id,lake,basin,block,fish,distance,replicate,d13c,total_c_ug,d15n,total_n_ug,sample_mg,pct_c,pct_n
H2P-00z,H2P,H,2,P,0,z,-28.475105340585806,1472.5923612060637,-1.922040500389588,26.09699008986911,2.8682,51.342038951470045,0.9098734429213134
H3A-05b,H3A,H,3,A,5,b,-29.8527800477674,1227.171670339496,-6.643677926090146,21.699469651457992,2.4699,49.68507511800056,0.8785566076139921
H3A-02c,H3A,H,3,A,2,c,-27.74409055279439,1511.7914993305853,-5.647418056138495,24.326343130721906,2.905,52.041015467490034,0.8373956327270881
H3A-02a,H3A,H,3,A,2,a,-28.343204939539035,1470.888050852824,-6.4110372116162555,21.516135604383418,2.8475,51.65541881836081,0.7556149465981885
K2P-00y,K2P,K,2,P,0,y,-27.149702213023833,1385.672533190821,-2.8753745105259543,38.530599163258415,2.7745,49.94314410491336,1.3887402834117288
K2P-00z,K2P,K,2,P,0,z,-26.623776053897096,1312.3871880014985,-3.0956389963268203,32.31860491862012,2.6193,50.104500744530924,1.233864197251942
H3A-50a,H3A,H,3,A,50,a,-27.868086893757717,1406.1242574297016,-3.915042228322845,28.659996612586458,2.8208,49.848420924195324,1.0160237029419477
K2P-05y,K2P,K,2,P,5,y,-28.654873398324824,1532.243223569466,-2.3179736852434654,25.97490147339344,3.0343,50.497420280442476,0.8560426283951305
H3A-10c,H3A,H,3,A,10,c,-27.20253260974277,1317.5001190612188,-3.1032810943077553,34.75582772162127,2.6343,50.013290781658085,1.3193572380374776
K2A-00x,K2A,K,2,A,0,x,-28.082729546563897,1399.3070160167417,-7.165631854564893,22.127216730114135,2.728,51.29424545515915,0.8111149827754447
H3A-02b,H3A,H,3,A,2,b,-27.947831477493658,1552.6949478083466,-7.142087368813522,22.616015052261943,3.0242,51.34233674387761,0.7478346356809055
H2P-02x,H2P,H,2,P,2,x,-26.786305235049706,1515.200120037065,-1.5020257758145124,38.34803076820665,2.9926,50.63156185380823,1.2814285493619813
H2P-10y,H2P,H,2,P,10,y,-26.97535466962717,1274.8923602302175,-3.1751446328878417,28.59899160412032,2.5135,50.72179670699095,1.1378154606771562
H2P-50x,H2P,H,2,P,50,x,-26.52272115239671,1510.0871889773452,-4.619185062146001,26.52427111946789,2.9119,51.859170609476465,0.9108922394130254
H2P-02y,H2P,H,2,P,2,y,-25.68981056183743,1503.269947564385,-1.4130813485257274,48.376933873729136,3.0133,49.88782887745611,1.6054469808425693
